50,"S.D. College of Education, Bajpur ",
51,"Surajmal Laxmi Devi Sawarthia Educational Trust, Siroli, Kichacha, US. Nagar ",
52,"Surajmal Agarwal Co-ed College of Management, U.S. Nagar ",
53,"Unity Law College, Kashipur ",
,,DISTRICT : PAURI 
Sr. No. ,Name of College/Institute ,
1,"Chandravati Tiwari Law Colleg, Kotdwar ",
2,"Dr. B. Gopal Reddi Campus, Pauri ",
3,"Dr. PDB Himalayan Govt P.G. college, Kotdwar ",
4,"Devi Sampada Sanskrit Mahavidyala, Parmarth Niketan ",
5,G.B. Pant Eng. College Ghudauri (Autonomous college) ,
6,Govt Degree college,Vedikhal 
7,Govt P.G. College,Jairikhal 
8,Govt Degree college,Chauubatakhal 
9,Govt Degree college,Thalisain 
10,Govt Degree college,Nainidanda 
11,Govt Degree college,Satpuli 
12,Govt Degree college,Rhiknikhal 
13,Govt Degree college,Majra mahadev 
14,Govt Degree college,Kotdwar Bhawar 
15,Govt Degree college,Pokra 
16,"Institute of Hotel Management Studies, Balbhadrapur ",
17,Malini Valley College of Education ,
18,Mahayogi Guru Gorakhnath College ,
19,"Rath Mahavidhyalay, Paithani ",
20,"S.P. Memorial B.Ed. College, Srinagar ",
21,"S.P. Memorial College of Advance Studies, Srinagar ",
22,"Swami Ram Institute of Education, Satpuli ",
23,"Shri Ragunath Kriti Adarsh Sanskrit Mahavidyala, Devprayag, Pauri ",
24,"Shri Jaidayal Sanskrit Mahavidyala Golabajar, Srinagar ",
25,Shri Jwalpadevi Adarsh Sanskrit Mahavidyala Pauri ,
26,"Vedic Ashram Grukul Mahavidyala, Kanwashram, Kotdwar ",
,,DISTRICT : UTTARKASHI 
Sr. No. ,Name of College/Institute ,
1,"R.U. Govt P.G. college, Uttarakashi ",
2,Govt Degree college,Badkot 
3,Govt Degree college,Purolla 
4,Govt Degree college,Chinyalisaur 
5,Govt Degree college,Bhrmakhal 
6,"Smt. Manjira Devi & Samiti, Dhanuri ",
7,"Shri Vishwanath Sanskrit Mahavidyala, Uttarkashi ",
,,DISTRICT : CHAMPAWAT
Sr. No. ,Name of College/Institute ,
1,"Devbhumi College of Education, Banbasa ",
2,Barahi Devi Sanskrit Mahavidyala Devidhura ,
3,Govt Degree college,,Champawat 
4,Govt Degree college,,Tanakpur 
5,Govt Degree college,,Devidhura 
6,Govt Degree college,,Banbasa 
7,"Ma Purnagiri College of Education, Barakot ",,
8,"S.V. Govt P.G. college, Lohaghat ",,
,,,DISTRICT : ALMORA
Sr. No. ,Name of College/Institute ,,
1,"BT Kumaun Inst. of Technology, Almora ",,
2,"Govt. Institute of Hotal Mangament, Almora ",,
3,Govt Degree college,,Chaukhutiya 
4,Govt Degree college,,Gurudabanj 
5,Govt Degree college Someshwar ,,
6,Govt Degree college,,Bhikiyisain 
7,Govt Degree college,,Bhatrojkhan 
8,Govt Degree college,,Tallasalt 
9,Govt Degree college,,Masi 
10,Govt Degree college,,Lamgada 
11,Govt Degree college,,Shitlakhet 
12,"Govt P.G. college, Dwarahat ",,
13,Govt P.G. college,Manila ,
14,"Govt P.G. college, Ranikhet ",,
15,Govt P.G. college,Syalde ,
16,Salt Institute of Technology & Management Salt ,,
17,SSJ Campus Almora (constituent college ) ,,
18,S.R.S.D.Govt Degree college,,Jainti 
,DISTRICT : NAINITAL 
Sr. No. ,Name of College/Institute 
1,"Amarpali Institute of Management & Computer Application, Haldwani "
2,"Amrapali Institute OF Technology & Science, Haldwani "
3,"Amrapali Institute of Hotel Management, Haldwani "
4,"Birla Institute of Applied Science, Bhimtal, "
5,"DSB Campus , Nainital (constituent college ) "
6,Govt. Degree college Kotabagh
7,Govt. Degree college Betalghat
8,I.P. Govt . Girls P.G. College Haldwani 
9,Inspiration College of Teachers Education Kathgodam 
10,Jai Arihent College of Teachers Education Haldwani 
11,"J.N. Kaul Institute of Education, Bhimtal "
12,"Jai Arihant Academic Institute Halduchour, Haldwani "
13,"Mariyam Institute of Higher Studies & Allied Courses, Haldwani "
14,"M.I.E.T. Lamachaur , Haldwani "
15,M.B. Govt P.G. college Haldwani 
16,P.N.G. Govt P.G. college Ramnagar 
17,"P.P.T. Govt Degree college, Dosapani "
18,"Pal College of Technology and Management, Haldwani "
19,"Presentation College of Teachers Education, Kathgodam "
20,"Renassa College of Hotel Management, Ramnagar "
21,"Swami Vivekanand College of Manag. and Tech, Golapar, Haldwani "
22,"Shri Mahadev Giri Sanskrit Mahavidyala, Haldwani "
23,"Shri Sanatan Dharm Sanskrit Mahavidyala, Railway bazar , haldwani "
24,"Trinity Institute of Professional Studies, Haldwani ",
,,DISTRICT : BAGESHWAR
Sr. No. ,Name of College/Institute ,
1,Govt. Degree college Kapkot ,
2,Govt. Degree college Kanda ,
3,Govt. Degree college Garud ,
4,Govt. Degree college Durg Nakuri ,
5,"K.K.P.B.P. Govt. P.G. college, Bageshwar ",
6,"Shri Narayan Sanskrit Mahavidyala , Kamedi devi, Bageshwar ",
,,DISTRICT : PITHORAGARH
Sr. No. ,Name of College/Institute ,
1,"LSM Govt P.G. college,",Pithoragarh 
2,"Govt P.G. college, Berinag ",
3,"Govt P.G. college, Narayannagar ",
4,"Govt Degree college , Baluwakote ",
5,"Govt Degree college , Munsyari ",
6,Govt Degree college,Gangolihat 
7,Govt Degree college,Muvani 
8,Govt Degree college,Ganai Gangoli 
9,"Seemant Inst. of Tech. , Pithoragarh (constituent college ) ",
,,DISTRICT : CHAMOLI 
Sr. No. ,Name of College/Institute ,
1,Dr. S.N. Govt P.G. college,,Karanprayag 
2,"Govt P.G. college, Gopeshwar ",,
3,Govt P.G. college,Joshimath ,
4,Govt Degree college,Talwari ,
5,Govt Degree college,Gairsain ,
6,Govt Law college Gopeshwar,,
7,Govt Degree college,Ghat ,
8,Govt Degree college,Nandasain ,
9,H.K.C.B. Govt P.G college,,Nagnath Pokri 
10,"Sanskrit Jyotisi Mahavidyala, Satiyana P.O thalawand Chamoli ",,
11,"Shri Badrinath Ved-Vedang Sanskrit mahavidyala, Joshimath ",,
12,"Shri 1008 Swami Sacchinand Saraswati Sanskrit Mahavidyala, Mandal Chamoli ",,
13,Shri Badrish Kriti Sanskrit Vidyapeeth Dimmer Simli ,,
,,DISTRICT : RUDRAPRAYAG ,
Sr. No. ,Name of College/Institute ,,
1,Govt Degree college,Jakholi ,
2,Govt Degree college,Rudraprayag ,
3,"S.A.P.B. Govt P.G. college, Agustmuni ",,
4,S.G.M. Govt Degree college,,Guptkashi 
5,"Shri Kedarnath Sanatan Dharm upadi Sanskrit Mahavidyala, Lamgodi, Rudrprayag ",,
6,"Shri Kedarnath Adarsh Sanskrit Mahavidyala, Lamgodi, Rudrprayag ",,
7,Shri 108 Swami Sachinanda Ved Bhawan Sanskrit Mahavidyala Rudraprayag ,,
8,"Shri Sanatan Dharm Sanskrit Mahavidyala, Maykoti, Rudrprayag ",,
9,"Shri Saraswati Sanskrit Mahavidyala, Vasukedar ",,
,,DISTRICT : TEHRI 
Sr. No. ,Name of College/Institute ,
1,"Bal Ganga Mahavidyala Sendul Kemar, Tehri ",
2,Balika Sanskrit Mahavidyala Sendul Kemar Tehri ,
3,"DAAS College of Management & Technology, Tehri ",
4,F.S.B. Govt Degree college,Lambgaon 
5,Govt P.G. college,New Tehri
6,"Govt Degree college, Agrora ",
7,Govt Degree college,Chandrabadni 
8,Govt Degree college,Nainbagh 
9,Govt Degree college,Paukhal 
10,Govt Degree college,Narendranagar 
11,Govt Degree college,Thatyur 
12,Govt Degree college,Pokhri patti kwili 
13,Govt Degree college,Pawki Devi 
14,O.S. Govt Degree college,Devprayag 
15,"SRT Campus , Tehri ",
16,"Shri Badrinath Rajkiya Sanskrit Mahavidyala, New Tehri ",
17,Shri Jwalamuki Sanskrit Mahavidyala Tehri ,
18,"Rajkiya Sanskrit Mahavidyala, Chamba ",
19,THDC Institute of Hydro Power Eng. & Techn. Tehri ,
